~id, ~from, ~to, ~label, weight:Int
e1, p1, t1, ok boomer, 4
e2, t1, p1, ok boomer, 4
e3, p1, t2, ok boomer, 3
e4, t2, p1, ok boomer, 3
e5, p1, t3, ok boomer, 3
e6, t3, p1, ok boomer, 3
e7, p1, t4, ok boomer, 2
e8, t4, p1, ok boomer, 2
e9, p1, t5, ok boomer, 2
e10, t5, p1, ok boomer, 2
e11, p1, t6, ok boomer, 2
e12, t6, p1, ok boomer, 2
e13, p1, t7, ok boomer, 2
e14, t7, p1, ok boomer, 2
e15, p1, t8, ok boomer, 2
e16, t8, p1, ok boomer, 2
e17, p1, t9, ok boomer, 2
e18, t9, p1, ok boomer, 2
e19, p1, t10, ok boomer, 2
e20, t10, p1, ok boomer, 2
e21, p2, t11, ok boomer, 8
e22, t11, p2, ok boomer, 8
e23, p2, t12, ok boomer, 8
e24, t12, p2, ok boomer, 8
e25, p2, t13, ok boomer, 7
e26, t13, p2, ok boomer, 7
e27, p2, t14, ok boomer, 7
e28, t14, p2, ok boomer, 7
e29, p2, t15, ok boomer, 7
e30, t15, p2, ok boomer, 7
e31, p2, t16, ok boomer, 6
e32, t16, p2, ok boomer, 6
e33, p2, t17, ok boomer, 6
e34, t17, p2, ok boomer, 6
e35, p2, t18, ok boomer, 6
e36, t18, p2, ok boomer, 6
e37, p2, t19, ok boomer, 5
e38, t19, p2, ok boomer, 5
e39, p2, t20, ok boomer, 2
e40, t20, p2, ok boomer, 2
e41, p3, t21, ok boomer, 24
e42, t21, p3, ok boomer, 24
e43, p3, t22, ok boomer, 24
e44, t22, p3, ok boomer, 24
e45, p3, t23, ok boomer, 24
e46, t23, p3, ok boomer, 24
e47, p3, t24, ok boomer, 24
e48, t24, p3, ok boomer, 24
e49, p3, t25, ok boomer, 24
e50, t25, p3, ok boomer, 24
e51, p3, t26, ok boomer, 24
e52, t26, p3, ok boomer, 24
e53, p3, t27, ok boomer, 24
e54, t27, p3, ok boomer, 24
e55, p3, t28, ok boomer, 24
e56, t28, p3, ok boomer, 24
e57, p3, t29, ok boomer, 24
e58, t29, p3, ok boomer, 24
e59, p3, t30, ok boomer, 24
e60, t30, p3, ok boomer, 24
e61, p4, t8, ok boomer, 20
e62, t8, p4, ok boomer, 20
e63, p4, t32, ok boomer, 15
e64, t32, p4, ok boomer, 15
e65, p4, t33, ok boomer, 14
e66, t33, p4, ok boomer, 14
e67, p4, t34, ok boomer, 9
e68, t34, p4, ok boomer, 9
e69, p4, t35, ok boomer, 9
e70, t35, p4, ok boomer, 9
e71, p4, t36, ok boomer, 8
e72, t36, p4, ok boomer, 8
e73, p4, t37, ok boomer, 6
e74, t37, p4, ok boomer, 6
e75, p4, t38, ok boomer, 6
e76, t38, p4, ok boomer, 6
e77, p4, t39, ok boomer, 4
e78, t39, p4, ok boomer, 4
e79, p4, t40, ok boomer, 4
e80, t40, p4, ok boomer, 4
e81, p5, t41, ok boomer, 21
e82, t41, p5, ok boomer, 21
e83, p5, t42, ok boomer, 18
e84, t42, p5, ok boomer, 18
e85, p5, t43, ok boomer, 15
e86, t43, p5, ok boomer, 15
e87, p5, t44, ok boomer, 15
e88, t44, p5, ok boomer, 15
e89, p5, t45, ok boomer, 14
e90, t45, p5, ok boomer, 14
e91, p5, t46, ok boomer, 14
e92, t46, p5, ok boomer, 14
e93, p5, t47, ok boomer, 13
e94, t47, p5, ok boomer, 13
e95, p5, t48, ok boomer, 13
e96, t48, p5, ok boomer, 13
e97, p5, t49, ok boomer, 13
e98, t49, p5, ok boomer, 13
e99, p5, t50, ok boomer, 12
e100, t50, p5, ok boomer, 12
e101, p6, t51, ok boomer, 10
e102, t51, p6, ok boomer, 10
e103, p6, t52, ok boomer, 3
e104, t52, p6, ok boomer, 3
e105, p6, t53, ok boomer, 2
e106, t53, p6, ok boomer, 2
e107, p6, t54, ok boomer, 2
e108, t54, p6, ok boomer, 2
e109, p6, t55, ok boomer, 2
e110, t55, p6, ok boomer, 2
e111, p6, t56, ok boomer, 1
e112, t56, p6, ok boomer, 1
e113, p6, t57, ok boomer, 1
e114, t57, p6, ok boomer, 1
e115, p6, t58, ok boomer, 1
e116, t58, p6, ok boomer, 1
e117, p6, t59, ok boomer, 1
e118, t59, p6, ok boomer, 1
e119, p6, t60, ok boomer, 1
e120, t60, p6, ok boomer, 1
e121, p7, t61, ok boomer, 15
e122, t61, p7, ok boomer, 15
e123, p7, t62, ok boomer, 13
e124, t62, p7, ok boomer, 13
e125, p7, t63, ok boomer, 11
e126, t63, p7, ok boomer, 11
e127, p7, t64, ok boomer, 7
e128, t64, p7, ok boomer, 7
e129, p7, t65, ok boomer, 3
e130, t65, p7, ok boomer, 3
e131, p7, t66, ok boomer, 3
e132, t66, p7, ok boomer, 3
e133, p7, t67, ok boomer, 3
e134, t67, p7, ok boomer, 3
e135, p7, t68, ok boomer, 2
e136, t68, p7, ok boomer, 2
e137, p7, t69, ok boomer, 2
e138, t69, p7, ok boomer, 2
e139, p7, t70, ok boomer, 2
e140, t70, p7, ok boomer, 2
e141, p8, t71, ok boomer, 25
e142, t71, p8, ok boomer, 25
e143, p8, t72, ok boomer, 24
e144, t72, p8, ok boomer, 24
e145, p8, t73, ok boomer, 23
e146, t73, p8, ok boomer, 23
e147, p8, t74, ok boomer, 22
e148, t74, p8, ok boomer, 22
e149, p8, t75, ok boomer, 21
e150, t75, p8, ok boomer, 21
e151, p8, t76, ok boomer, 20
e152, t76, p8, ok boomer, 20
e153, p8, t77, ok boomer, 20
e154, t77, p8, ok boomer, 20
e155, p8, t78, ok boomer, 18
e156, t78, p8, ok boomer, 18
e157, p8, t79, ok boomer, 17
e158, t79, p8, ok boomer, 17
e159, p8, t80, ok boomer, 15
e160, t80, p8, ok boomer, 15
e161, p9, t81, ok boomer, 23
e162, t81, p9, ok boomer, 23
e163, p9, t82, ok boomer, 23
e164, t82, p9, ok boomer, 23
e165, p9, t83, ok boomer, 20
e166, t83, p9, ok boomer, 20
e167, p9, t84, ok boomer, 19
e168, t84, p9, ok boomer, 19
e169, p9, t85, ok boomer, 18
e170, t85, p9, ok boomer, 18
e171, p9, t86, ok boomer, 18
e172, t86, p9, ok boomer, 18
e173, p9, t87, ok boomer, 18
e174, t87, p9, ok boomer, 18
e175, p9, t88, ok boomer, 18
e176, t88, p9, ok boomer, 18
e177, p9, t89, ok boomer, 18
e178, t89, p9, ok boomer, 18
e179, p9, t90, ok boomer, 17
e180, t90, p9, ok boomer, 17
e181, p10, t91, ok boomer, 21
e182, t91, p10, ok boomer, 21
e183, p10, t92, ok boomer, 21
e184, t92, p10, ok boomer, 21
e185, p10, t93, ok boomer, 20
e186, t93, p10, ok boomer, 20
e187, p10, t94, ok boomer, 20
e188, t94, p10, ok boomer, 20
e189, p10, t95, ok boomer, 20
e190, t95, p10, ok boomer, 20
e191, p10, t96, ok boomer, 20
e192, t96, p10, ok boomer, 20
e193, p10, t97, ok boomer, 20
e194, t97, p10, ok boomer, 20
e195, p10, t98, ok boomer, 20
e196, t98, p10, ok boomer, 20
e197, p10, t99, ok boomer, 20
e198, t99, p10, ok boomer, 20
e199, p10, t100, ok boomer, 20
e200, t100, p10, ok boomer, 20
e201, p11, t101, ok boomer, 15
e202, t101, p11, ok boomer, 15
e203, p11, t102, ok boomer, 15
e204, t102, p11, ok boomer, 15
e205, p11, t103, ok boomer, 8
e206, t103, p11, ok boomer, 8
e207, p11, t104, ok boomer, 3
e208, t104, p11, ok boomer, 3
e209, p11, t105, ok boomer, 3
e210, t105, p11, ok boomer, 3
e211, p11, t106, ok boomer, 3
e212, t106, p11, ok boomer, 3
e213, p11, t107, ok boomer, 3
e214, t107, p11, ok boomer, 3
e215, p11, t108, ok boomer, 3
e216, t108, p11, ok boomer, 3
e217, p11, t109, ok boomer, 2
e218, t109, p11, ok boomer, 2
e219, p11, t110, ok boomer, 2
e220, t110, p11, ok boomer, 2
e221, p12, t111, ok boomer, 8
e222, t111, p12, ok boomer, 8
e223, p12, t112, ok boomer, 8
e224, t112, p12, ok boomer, 8
e225, p12, t113, ok boomer, 6
e226, t113, p12, ok boomer, 6
e227, p12, t114, ok boomer, 4
e228, t114, p12, ok boomer, 4
e229, p12, t115, ok boomer, 3
e230, t115, p12, ok boomer, 3
e231, p12, t116, ok boomer, 3
e232, t116, p12, ok boomer, 3
e233, p12, t117, ok boomer, 3
e234, t117, p12, ok boomer, 3
e235, p12, t118, ok boomer, 2
e236, t118, p12, ok boomer, 2
e237, p12, t119, ok boomer, 2
e238, t119, p12, ok boomer, 2
e239, p12, t120, ok boomer, 2
e240, t120, p12, ok boomer, 2
e241, p13, t121, ok boomer, 25
e242, t121, p13, ok boomer, 25
e243, p13, t122, ok boomer, 25
e244, t122, p13, ok boomer, 25
e245, p13, t123, ok boomer, 25
e246, t123, p13, ok boomer, 25
e247, p13, t124, ok boomer, 25
e248, t124, p13, ok boomer, 25
e249, p13, t125, ok boomer, 25
e250, t125, p13, ok boomer, 25
e251, p13, t126, ok boomer, 25
e252, t126, p13, ok boomer, 25
e253, p13, t127, ok boomer, 25
e254, t127, p13, ok boomer, 25
e255, p13, t128, ok boomer, 25
e256, t128, p13, ok boomer, 25
e257, p13, t129, ok boomer, 25
e258, t129, p13, ok boomer, 25
e259, p13, t130, ok boomer, 25
e260, t130, p13, ok boomer, 25
e261, p14, t131, ok boomer, 22
e262, t131, p14, ok boomer, 22
e263, p14, t132, ok boomer, 21
e264, t132, p14, ok boomer, 21
e265, p14, t133, ok boomer, 16
e266, t133, p14, ok boomer, 16
e267, p14, t134, ok boomer, 14
e268, t134, p14, ok boomer, 14
e269, p14, t135, ok boomer, 13
e270, t135, p14, ok boomer, 13
e271, p14, t136, ok boomer, 13
e272, t136, p14, ok boomer, 13
e273, p14, t137, ok boomer, 13
e274, t137, p14, ok boomer, 13
e275, p14, t138, ok boomer, 11
e276, t138, p14, ok boomer, 11
e277, p14, t139, ok boomer, 11
e278, t139, p14, ok boomer, 11
e279, p14, t140, ok boomer, 11
e280, t140, p14, ok boomer, 11
e281, p15, t141, ok boomer, 25
e282, t141, p15, ok boomer, 25
e283, p15, t142, ok boomer, 25
e284, t142, p15, ok boomer, 25
e285, p15, t143, ok boomer, 25
e286, t143, p15, ok boomer, 25
e287, p15, t144, ok boomer, 25
e288, t144, p15, ok boomer, 25
e289, p15, t145, ok boomer, 9
e290, t145, p15, ok boomer, 9
e291, p15, t146, ok boomer, 8
e292, t146, p15, ok boomer, 8
e293, p15, t147, ok boomer, 6
e294, t147, p15, ok boomer, 6
e295, p15, t148, ok boomer, 6
e296, t148, p15, ok boomer, 6
e297, p15, t149, ok boomer, 5
e298, t149, p15, ok boomer, 5
e299, p15, t150, ok boomer, 5
e300, t150, p15, ok boomer, 5
e301, p16, t151, ok boomer, 19
e302, t151, p16, ok boomer, 19
e303, p16, t152, ok boomer, 10
e304, t152, p16, ok boomer, 10
e305, p16, t153, ok boomer, 7
e306, t153, p16, ok boomer, 7
e307, p16, t154, ok boomer, 7
e308, t154, p16, ok boomer, 7
e309, p16, t155, ok boomer, 6
e310, t155, p16, ok boomer, 6
e311, p16, t156, ok boomer, 5
e312, t156, p16, ok boomer, 5
e313, p16, t157, ok boomer, 2
e314, t157, p16, ok boomer, 2
e315, p16, t158, ok boomer, 2
e316, t158, p16, ok boomer, 2
e317, p16, t159, ok boomer, 2
e318, t159, p16, ok boomer, 2
e319, p16, t160, ok boomer, 2
e320, t160, p16, ok boomer, 2
e321, p17, t161, ok boomer, 22
e322, t161, p17, ok boomer, 22
e323, p17, t162, ok boomer, 19
e324, t162, p17, ok boomer, 19
e325, p17, t163, ok boomer, 19
e326, t163, p17, ok boomer, 19
e327, p17, t164, ok boomer, 19
e328, t164, p17, ok boomer, 19
e329, p17, t165, ok boomer, 19
e330, t165, p17, ok boomer, 19
e331, p17, t166, ok boomer, 19
e332, t166, p17, ok boomer, 19
e333, p17, t167, ok boomer, 18
e334, t167, p17, ok boomer, 18
e335, p17, t168, ok boomer, 13
e336, t168, p17, ok boomer, 13
e337, p17, t169, ok boomer, 13
e338, t169, p17, ok boomer, 13
e339, p17, t170, ok boomer, 13
e340, t170, p17, ok boomer, 13
e341, p18, t171, ok boomer, 3
e342, t171, p18, ok boomer, 3
e343, p18, t172, ok boomer, 3
e344, t172, p18, ok boomer, 3
e345, p18, t173, ok boomer, 3
e346, t173, p18, ok boomer, 3
e347, p18, t174, ok boomer, 2
e348, t174, p18, ok boomer, 2
e349, p18, t175, ok boomer, 2
e350, t175, p18, ok boomer, 2
e351, p18, t176, ok boomer, 2
e352, t176, p18, ok boomer, 2
e353, p18, t177, ok boomer, 2
e354, t177, p18, ok boomer, 2
e355, p18, t178, ok boomer, 2
e356, t178, p18, ok boomer, 2
e357, p18, t179, ok boomer, 2
e358, t179, p18, ok boomer, 2
e359, p18, t180, ok boomer, 2
e360, t180, p18, ok boomer, 2
e361, p19, t181, ok boomer, 15
e362, t181, p19, ok boomer, 15
e363, p19, t182, ok boomer, 15
e364, t182, p19, ok boomer, 15
e365, p19, t183, ok boomer, 15
e366, t183, p19, ok boomer, 15
e367, p19, t184, ok boomer, 14
e368, t184, p19, ok boomer, 14
e369, p19, t185, ok boomer, 14
e370, t185, p19, ok boomer, 14
e371, p19, t186, ok boomer, 13
e372, t186, p19, ok boomer, 13
e373, p19, t187, ok boomer, 12
e374, t187, p19, ok boomer, 12
e375, p19, t188, ok boomer, 12
e376, t188, p19, ok boomer, 12
e377, p19, t189, ok boomer, 11
e378, t189, p19, ok boomer, 11
e379, p19, t190, ok boomer, 11
e380, t190, p19, ok boomer, 11
e381, p20, t191, ok boomer, 15
e382, t191, p20, ok boomer, 15
e383, p20, t192, ok boomer, 11
e384, t192, p20, ok boomer, 11
e385, p20, t193, ok boomer, 10
e386, t193, p20, ok boomer, 10
e387, p20, t194, ok boomer, 10
e388, t194, p20, ok boomer, 10
e389, p20, t195, ok boomer, 10
e390, t195, p20, ok boomer, 10
e391, p20, t196, ok boomer, 9
e392, t196, p20, ok boomer, 9
e393, p20, t197, ok boomer, 9
e394, t197, p20, ok boomer, 9
e395, p20, t198, ok boomer, 9
e396, t198, p20, ok boomer, 9
e397, p20, t199, ok boomer, 8
e398, t199, p20, ok boomer, 8
e399, p20, t200, ok boomer, 8
e400, t200, p20, ok boomer, 8
e401, p21, t201, ok boomer, 8
e402, t201, p21, ok boomer, 8
e403, p21, t192, ok boomer, 8
e404, t192, p21, ok boomer, 8
e405, p21, t203, ok boomer, 7
e406, t203, p21, ok boomer, 7
e407, p21, t204, ok boomer, 7
e408, t204, p21, ok boomer, 7
e409, p21, t205, ok boomer, 7
e410, t205, p21, ok boomer, 7
e411, p21, t206, ok boomer, 6
e412, t206, p21, ok boomer, 6
e413, p21, t207, ok boomer, 6
e414, t207, p21, ok boomer, 6
e415, p21, t208, ok boomer, 6
e416, t208, p21, ok boomer, 6
e417, p21, t209, ok boomer, 6
e418, t209, p21, ok boomer, 6
e419, p21, t210, ok boomer, 5
e420, t210, p21, ok boomer, 5
e421, p22, t211, ok boomer, 18
e422, t211, p22, ok boomer, 18
e423, p22, t212, ok boomer, 15
e424, t212, p22, ok boomer, 15
e425, p22, t196, ok boomer, 11
e426, t196, p22, ok boomer, 11
e427, p22, t214, ok boomer, 10
e428, t214, p22, ok boomer, 10
e429, p22, t215, ok boomer, 10
e430, t215, p22, ok boomer, 10
e431, p22, t216, ok boomer, 7
e432, t216, p22, ok boomer, 7
e433, p22, t217, ok boomer, 7
e434, t217, p22, ok boomer, 7
e435, p22, t218, ok boomer, 6
e436, t218, p22, ok boomer, 6
