~id, ~label, title:string
p1, Person, YouTube
t1, Tag, beauty
t2, Tag, pride
t3, Tag, world pride
t4, Tag, jarvis johnson
t5, Tag, tarek ali
t6, Tag, creators
t7, Tag, youtube creators
t8, Tag, fashion
t9, Tag, triple j
t10, Tag, music
p2, Person, Sam VanFleet
t11, Tag, horse
t12, Tag, horses
t13, Tag, equestrian
t14, Tag, mustang
t15, Tag, extreme mustang makeover
t16, Tag, mustangs
t17, Tag, equestrians
t18, Tag, training
t19, Tag, equine
t20, Tag, wild horse
p3, Person, Creek Fishing Adventures
t21, Tag, extreme
t22, Tag, philly
t23, Tag, fishing
t24, Tag, johnb
t25, Tag, urban
t26, Tag, multi-species
t27, Tag, creek
t28, Tag, dalton
t29, Tag, stream
t30, Tag, fish
p4, Person, Elen Lane
t32, Tag, ulzzang
t33, Tag, ootd
t34, Tag, outfitideas
t35, Tag, koreanfashion
t36, Tag, aesthetic
t37, Tag, kpop
t38, Tag, ootdideas
t39, Tag, lookbook
t40, Tag, kfashion
p5, Person, grainydays
t41, Tag, 35mm
t42, Tag, analog
t43, Tag, photos
t44, Tag, shoot film
t45, Tag, 120
t46, Tag, portra
t47, Tag, medium format
t48, Tag, kodak
t49, Tag, film is not dead
t50, Tag, fuji
p6, Person, Vacuum Wars
t51, Tag, vacuum wars
t52, Tag, robot vacuum
t53, Tag, best carpet cleaning machine
t54, Tag, shark apex duoclean
t55, Tag, bissell pet hair eraser
t56, Tag, shark robot vacuum
t57, Tag, shark robot vacuum differences
t58, Tag, shark r85 vs r87
t59, Tag, shark rv850
t60, Tag, rv871
p7, Person, NigelBarros
t61, Tag, how to filmmaking
t62, Tag, nigel barros
t63, Tag, panasonic gh3
t64, Tag, best video camera
t65, Tag, panasonic g6
t66, Tag, cheap cinematic camera
t67, Tag, sigma 16mm f1.4
t68, Tag, budget filmmaking
t69, Tag, micro 4/3 lenses
t70, Tag, cheap filmmaking gear
p8, Person, DeJesus Custom Footwear
t71, Tag, dejesus custom footwear
t72, Tag, angelus paint
t73, Tag, angelus direct
t74, Tag, dejesus customs
t75, Tag, custom shoes
t76, Tag, how to customize shoes
t77, Tag, how to custom cleats
t78, Tag, how to paint shoes
t79, Tag, how to airbrush shoes
t80, Tag, customs
p9, Person, Seth James DeMoor
t81, Tag, daily vlog
t82, Tag, seth james demoor
t83, Tag, running vlog
t84, Tag, running inspiration
t85, Tag, running gear
t86, Tag, how to run
t87, Tag, motivation to start running
t88, Tag, how to run fast
t89, Tag, how to run faster
t90, Tag, running motivation
p10, Person, AFC vending
t91, Tag, vending
t92, Tag, how to start a vending business
t93, Tag, gumball machines
t94, Tag, collecting money from my vending business
t95, Tag, vending machine
t96, Tag, how to buy a vending machine
t97, Tag, how much money do i need to start a vending business
t98, Tag, collecting from my vending machines
t99, Tag, how much do i make in vending
t100, Tag, jaime ibanez
p11, Person, Doberman Planet
t101, Tag, dobermann
t102, Tag, doberman pinscher
t103, Tag, doberman
t104, Tag, are dobermans good family dogs
t105, Tag, doberman health
t106, Tag, doberman anxiety
t107, Tag, living with a doberman
t108, Tag, dobermans with kids
t109, Tag, should i get a doberman
t110, Tag, alternative colors
p12, Person, V-BELT and SON
t111, Tag, cummins
